Order ID,ship-city,ship-state,ship-postal-code,ship-country
404-5546156-4947565,AHMEDABAD,Gujarat,382340,IN
403-8306900-1833930,AHMEDABAD,Gujarat,382481,IN
405-9808686-6294763,AHMEDABAD,Gujarat,380015,IN
408-9593414-3493949,AHMEDABAD,Gujarat,380058,IN
408-3784452-5056335,AHMEDABAD,Gujarat,380058,IN
407-2189275-1036325,AHMEDABAD,Gujarat,380015,IN
407-2189275-1036325,AHMEDABAD,Gujarat,380015,IN
407-8078759-6933143,AHMEDABAD,Gujarat,380015,IN
171-6511210-8329166,AHMEDABAD,Gujarat,380052,IN
171-5817102-9354721,AHMEDABAD,Gujarat,380054,IN
404-4842089-9100365,AHMEDABAD,Gujarat,380015,IN
403-6784069-3189967,AHMEDABAD,Gujarat,380055,IN
405-5857636-6725930,AHMEDABAD,Gujarat,382330,IN
403-3580507-3769138,AHMEDABAD,Gujarat,380008,IN
405-0532803-0120331,AHMEDABAD,Gujarat,380015,IN
408-7416639-7336362,AHMEDABAD,Gujarat,380015,IN
408-1079404-9805951,Ahmedabad,Gujarat,382470,IN
408-7304860-0333966,Ahmedabad,Gujarat,382470,IN
402-7589486-0562761,AHMEDABAD,Gujarat,380061,IN
402-7108767-7365115,AHMEDABAD,Gujarat,380015,IN
402-4461977-9541920,AHMEDABAD,Gujarat,380015,IN
402-4461977-9541920,AHMEDABAD,Gujarat,380015,IN
403-6401683-7695522,Ahmedabad,Gujarat,380054,IN
406-8355257-8200337,ahmedabad,Gujarat,380061,IN
406-7000104-9425902,ahmedabad,Gujarat,380061,IN
407-6014076-6959530,AHMEDABAD,Gujarat,382340,IN
405-6275069-8709919,AHMEDABAD,Gujarat,382481,IN
402-9281882-8068369,AHMEDABAD,Gujarat,380015,IN
407-8367821-7465153,AHMEDABAD,Gujarat,380015,IN
171-7459155-7689129,AHMEDABAD,Gujarat,380015,IN
405-9955578-8648341,AHMEDABAD,Gujarat,380054,IN
405-7589306-0124350,AHMEDABAD,Gujarat,380054,IN
403-6630453-2532306,AHMEDABAD,Gujarat,380009,IN
408-9324111-7319511,AHMEDABAD,Gujarat,380004,IN
171-1018172-4497169,AHMEDABAD,Gujarat,382418,IN
406-3661689-8018752,AHMEDABAD,Gujarat,380055,IN
408-3908823-9804323,AHMEDABAD,Gujarat,382481,IN
171-0600610-7473140,AHMEDABAD,Gujarat,382330,IN
171-9710743-1387562,AHMEDABAD,Gujarat,380051,IN
171-6113595-2365936,AHMEDABAD,Gujarat,380015,IN
171-2931578-0837950,AHMEDABAD,Gujarat,380015,IN
404-2134517-7853941,AHMEDABAD,Gujarat,380007,IN
406-2702697-8148340,AHMEDABAD,Gujarat,382470,IN
